reff_id;coroner_name;report_sent_to;coroner_concerns;;;;;;;
Ref: 2023-0341;Philip Spinney;Exeter Prison;During the course of the inquest the evidence revealed matters giving rise to concern. In my opinion there is a risk that future deaths will occur unless action is taken. In the circumstances it is my statutory duty to report to you.†The MATTERS OF CONCERN are as follows:†(1)† The evidence revealed that there was an inconsistent approach taken by staff when conducting and recording observations on prisoners subject to the Prison Service suicide and self-harm prevention procedures (known as ACCT).(2)† The evidence also revealed that some Officers had a different interpretation of the requirements of set out in PSI 64/2011 in respect of the timing of observations.(3)† The evidence also revealed that precise times of such observations were not routinely being recorded accurately.(4)† During the evidence it became apparent that a prison officer worked 23 hours out of 24, he was asked if this was normal and he replied, úyes, to make the regime work.ù;;;;;;;
Ref: 2023-0333;Kate Robertson;Betsi Cadwaladr University Health Board;During the course of the inquest, the evidence revealed matters giving rise to concern. † In my opinion there is a risk that future deaths will occur unless action is taken. In the circumstances it is my statutory duty to report to you. † The MATTERS OF CONCERN are as follows a.†††††† The Investigation undertaken by the Health Board was deficient in that it did not contain pertinent points relating to how the transfer of care did not occur. I have previously issued a number of Prevention of Future Death Reports relating to quality and timeliness of investigation.†b.††††† The Health Boards Transfer of Care document at the time the transfer occurred did not include any detail or process as to how the transfer should occur. The amended policy has still not been finalised and there remains a concern that deaths will continue to occur if the process is not finalised and shared widely within the Health Board to staff.†c.†††††† Patient notes for mental health are still not electronic;;;;;;;
Ref: 2023-0368;Paul Cooper;Suicide (from 2015) | Alcohol, drugs medication related death | Hospital Death (Clinical Procedures and medical management) related deaths;During the course of the investigation my inquiries revealed matters giving rise to concern. In my opinion there is a risk that future deaths could occur unless action is taken. In the circumstances it is my statutory duty to report to you.†The MATTERS OF CONCERN are as follows:(brief summary of matters of concern)†The deceased was prescribed [REDACTED] by her GP.Following discharge from hospital on 18th January 2023† LCH also prescribed [REDACTED]. The deceased therefore had two prescriptions of the same medication that she used to end her life.Are there any checks in place to avoid duplicity of prescriptions between hospital and GP ?;;;;;;;
Ref: 2023-0366;Catherine McKenna;Midlands Partnership NHS Foundation Trust;"During the course of the inquest the evidence revealed matters giving rise to concern. In my opinion there is a risk that future deaths will occur unless action is taken. In the circumstances it is my statutory duty to report to you.

The MATTERS OF CONCERN are as follows:-
(1)   No assessment of the risk of suicide or self-harm upon release took place during the Deceasedís time in detention
 
(2)   There was a lack of clear communication to the Police as to what, if any assessment had taken place.

(3)   The conversation between the Practitioner and the Deceased took place through an observation hatch in circumstances where no risk was posed to the Practitioner from being in the same room as the Deceased. This was not best practice.
 
(4)   The terminology used by the Practitioner was misleading in that it suggested that there was no role for the Liaison and Diversion service because no unmet needs or vulnerabilities had been identified. The evidence was that the Deceased had declined consent for an assessment of unmet needs and vulnerabilities and therefore the notes should have made clear that an assessment of unmet needs and vulnerabilities had not taken place.
 
(5)   The ëreviewí undertaken by a Health & Justice Operational Manager of the West Mercia Health & Justice Service consisted of duplication of the Practitioners statement with no comment, observations or identification of areas of learning.";;;;;;;
Ref: 2023-0363;Lorraine Harris;Department of Health and Social Care;During the course of the inquest the evidence revealed matters giving rise to concern. In my opinion there is a risk that future deaths could occur unless action is taken. In the circumstances it is my statutory duty to report to you.The MATTERS OF CONCERN are as follows. (1)† It was evident that the lack of consistency in staff dealing with Mr Donoghues care was a factor in his ability to engage and be honest with those having oversight of him at a very fragile time in his treatment.(2)† Evidence was heard that the HBTT system is a nationwide treatment as an alternative to hospital admission and although peoples care in HBTT had improved, a real continuity of staff could only occur with a substantive change which would include additional funding, recruitment of appropriate staff and an ability to retain staff. I was informed that if these issues were addressed it would allow more capacity to manage consistency alongside the other demands of the service.(3)† It is worthy of note that this is the 2nd inquest heard within 3 weeks in this jurisdiction whereby inconsistency of care staff has been cited as an issue in a suicide. The other inquest was the death of a 20 year old woman.(4) Mental Health is a rising problem and it is my understanding that 115 people die by suicide every week. Acknowledgement of the important work undertaken by HBTT and the need to give the very best support to those who have taken the, often difficult, step of seeking help with their care is a matter that requires imminent attention.;;;;;;;
Ref: 2023-0275;Sean Horstead;Essex Partnership NHS Trust;During the inquest the evidence revealed matters giving rise to concern. Although not identified as causative of the death in this case, in my opinion there is a risk that future deaths will occur unless action is taken. In the circumstances it is my statutory duty to report to you.MATTERS OF CONCERN are as follows. †††† Evidence confirmed a conspicuouslack of clarityasto when, where and by (or between) whom any formal handover of responsibilityasCare Coordinator (CC) for Jo took placeasbetweenanumber ofCCsallocated to Jo overaperiod of many monthsfrom the lead up to and following her discharge as an in-patient back to the community team on December 18th 2020 and through to early May 202†<em>††††Consequently , the evidence confirmed, despite her clear vulnerabilities, Jo did not have an allocated Care Coordinator for several weeks up to the beginning of May 202 The evidence also confirmed that the lack of clarity as to the timing and conduct of CC handovers and the absence of an allocated CC to work with Jo (and by extension, her family) was informed bylack ofaformal policy or procedure requiring thatafull, detailed, formal record of handover between Care Coordinators is to be placed on EPUT electronic records.</em>.    Evidence confirmed a conspicuouslack of clarityasto who, amongst EPUT clinicians/staff, has the responsibilitv for oversight of patient carefollowing discharge, including responsibility for ensuring adequate and appropriate safety-netting is in place in the event of relapse, where a Care Coordinator is no longer in place/has not been replaced.</em>†<em>Please note that this 3rd concern was previously raised bymewith</em>††††††††††††††CEO of EPUT (and in very similar terms) in a PFDR dated 202022 following the death of Stephanie Moyce.</em>. The community Risk Assessment, Care Plan and Security Plan for Jo were not updated by a Care Coordinator between December 2020 and Jos death.;;;;;;;
Ref: 2023-0304;Lydia Brown;Hillingdon Council ;During the course of the inquest the evidence revealed matters giving rise to concern. In my opinion there is a risk that future deaths will occur unless action is taken. In the circumstances it is my statutory duty to report to you.†The MATTERS OF CONCERN are as follows. Mrs Smith was recognised to be a hoarder and her council property was dangerously full of items blocking all access, impeding stair access and impacting on her ability to access the kitchen or bathroom. The gas supply had been cut off as she did not allow access for the annual inspection.†Mrs Smith recognised she had a problem and asked the council for assistance. The offered solution only moved some of her belongings into a local úvoidù property that she did not have access to with no plan for how to resolve this temporary situation, creating considerable†anxiety and stress for Mrs Smith who then took her own life by overdosing with her prescribed medication†(1)††† The inquest identified that there was insufficient staff training to deal with complex hoarder cases.†(2)††† Other safety assessments such as a fire assessment and/or environmental health assessment were not requested despite their being a clear need.†(3)††† The council úflow chartù was clearly not fit for purpose to assist staff in progressing hoarder support and assistance and was focussed on enforcement procedures rather than tenant support. The inquest was advised that the councils approach was not enforcement, but their documentation did not support this.†(4)† It was entirely unclear what options were available (if any) when the first plan of assistance completely failed, leaving the vulnerable tenant excluded from her property with no forward plan.;;;;;;;
Ref: 2023-0283;R Mahmood;City of Bradford Metropolitan District Council;During the course of the investigation my inquiries revealed matters giving rise to concern. In my opinion there is a risk that future deaths could occur unless action is taken. In the circumstances it is my statutory duty to report to you. † The MATTERS OF CONCERN are as follows: (brief summary of matters of concern) † A detailed review of the evidence in this case, which included evidence from two Schools ([REDACTED]), as well as from Bradford Childrens Social Services, the TRACKS Education team (at Bradford Council), the SCIL Team and the Councils SEND Team, revealed that no one person or department at Bradford Council had an overview of Councils involvement in relation to Leah (prior to her death).†Of greater concern was that that remained so after each of the Council departments involved were notified that Leah had passed away.†Every organisation which had contact with the Coroners service in relation to Leahs death, with the exception of Bradford Council, was able to provide the Court with an overview/analysis of their involvement with Leah prior to her death and (where appropriate) the lessons they had learnt as a result their involvement with Leah.†The Police and the local Mental Health Trust were examples of two public bodies who had and were able to provide an overview/analysis to the Court in terms of their involvement with Leah and confirm whether there were any lessons to be learned by them.†The evidence provided by witnesses from the various Bradford Council teams which were involved with Leah, showed a clear disconnect in the involvement of the various Council departments. That was not caused by those individuals who had provided written statements to the Court or the two who attended to provide oral evidence.†Whilst the Inquest hearing did not identify actions/omissions on the part of individuals/teams within the Council which more than minimally, negligibly or trivially contributed to Leahs death, the concern is that Bradford Council appeared not to have a system/process in place which allowed anyone (whether an individual / a team) within the Council to have an overview of deaths where there had been previous Council involvement with the deceased (in this case a child).†In the apparent absence of such oversight Bradford Council would not be able to learn lessons from such cases (or even know if there were lessons to be learned). The absence of such a single point of oversight as was apparent in Leahs case, contributes to the risk that future deaths could occur unless action is taken.;;;;;;;
Ref: 2023-0244;James Bennett;Department of Health and Social Care, NHS England, NHS Digital, Birmingham and Solihull Integrated Care Board, Birmingham and Solihull Mental Health NHS Trust and Birmingham City Council;During the course of the inquest the evidence revealed matters giving rise to concern. † † The MATTERS OF CONCERN are as follows:††††††† There continues to be a chronic lack of resources to treat seriously mentally ill patients in Birmingham and Solihull. In the summer of 2022 Birmingham and Solihull Mental Health Trust (òBSMHFT) wanted to admit the deceased to an inpatient psychiatric unit, however, no bed was available, and he remained in the community. Shortly before his death, the deceased had been detained by the police under section 136 of the mental health act. There was no available òplace of safety and he had to be taken to an emergency department. The police, BSMHFT, and hospital Drs agreed the deceased needed to be assessed under the mental health act, however Birmingham City Council could not provide an approved mental health practitioner (òAMPH) to attend in a 24-hour period. When the section 136 lapsed the deceased was discharged home after a review by a mental health nurse. At the time of his death the deceased was on BSMHFTs waiting list for a care- coordinator. The lack of care-coordinators, mental health inpatient beds, òplace of safety, and AMHPs, presents a risk seriously mentally ill people are not receiving necessary treatment. The evidence is that these issues are a consequence of a chronic lack of resources at a local and national level. The Birmingham and Solihull coroners have been repeating identical concerns in Prevention of Future Death Reports for many years.†††††† BSMHFT utilizes self-contained specialist teams. The deceased was treated by (a) crisis team/home treatment team, (b) community mental health team, and (b) psychiatric liaison team. The evidence demonstrated communication between the specialist teams was not effective and this caused delays. For example, the psychiatric liaison team nurse that reviewed the deceased updated the community mental health team. However, the GP could not prescribe the deceaseds medication in October 2022 because it had not been approved by the community mental health team consultant via an ESCA and the deceased went without his medication. The deceaseds GP had to contact the community mental health team directly notwithstanding the psychiatric liaison nurses involvement. The deceased cited this delay as making his mental health worse shortly before his death. My concern is communication between the specialist teams is not effective enough. BSMHFTs RCA action plan is to seek assurance from the CCG/ICB that communication between the specialist teams is being strengthened. My concern is that this does not go far enough and there should be consideration of a formal process or policy.†††††† Carbamazepine management was proposed in 2012 to manage the deceaseds mental health however this was not picked up by his GP and was only noted by a BSMHFT consultant in August 202 Therefore, the deceased went 10 years without this medication. BSMHFT could not explain at the inquest why this omission had not been identified sooner. BSMHFTs RCA action plan does not have any action to avoid a repeat occurrence. My concern is this issue indicates a problem with process and systems and further consideration is required to avoid a repeat occurrence.†††††† The deceaseds GP raised concerns that different health organisations use different digital systems that do not communicate with each other. Further, GPs often do not get important patient updates from primary care organisations for many days or weeks. (See examples above: the GP did not pick up the carbamazepine prescription, and could not prescribe the medication in October 2022). My concern is communication between different health organisations is not as effective as it could be and important information is being missed, and consequently a material delay in treatment is occurring.†††††† The deceaseds GP raised concerns that current resources do not allow GPs to pro- actively check patients are collecting prescribed medication due to excessive patient lists. My concern is that this is a consequence of lack of resources at a national level.†In my opinion there is a risk that future deaths will occur unless action is taken. In the circumstances it is my statutory duty to report to you.;;;;;;;
Ref: 2023-0238;Ivan Cartwright;Betfair, Gambling Commission and Department for Culture, Media and Sport;During the course of the investigation my inquiries revealed matters giving rise to concern. In my opinion there is a risk that future deaths could occur unless action is taken. In the circumstances it is† my statutory duty to report to you.†The MATTERS OF CONCERN are as follows:(brief summary of matters of concern)†Preamble†During the course of the inquest, evidence was heard about Mr. Ashtons gambling activities, both prior to and, in greater detail, after July 201 The evidence showed that Mr. Ashton had, at times, used a number of ways to protect himself from the potential of excessive losses from, and excessive deposits into, his online account, in order to gamble. Those methods included self-exclusion, temporary or permanent, from certain products and/or activities and placing limits on the value of his deposits and/or losses, during a specific, pre-determined period of time.†During the òrelevant period examined closely during the investigation and inquest, between July 2019 and the date of Mr. Ashtons death on 22 April 2021, although Mr. Ashton utilised a number of what are known as òplayer protection tools, as outlined above, the operator he was gambling with during the relevant period, Betfair, did not take any measures, save for sending a number of e-mails to Mr. Ashton, to tell him about the existence of a number of protection tools that players could potentially access. During the relevant period, the evidence showed that Mr. Ashton was a problem gambler and, in the last 10-12 weeks of his life, his problem gambling became more acute, intrusive and, on balance, distressing to him.†Concerns1)††† I remain concerned that the player protection tools, as mentioned above, were and are inadequate to protect a person such as Mr. Ashton, who was a problem gambler with a worsening problem, specifically that such tools do not amount to any or any meaningful interaction with the gambler, or any intervention into the practices of the gambler.†2)†††† I remain concerned that the algorithm devised and operated by Betfair, to assist its staff in, amongst other things, observing and monitoring the gambling patterns and practices of its customers, failed to flag up Mr. Ashton as a problem gambler, despite the increases in his time online (gambling) the value of his deposits and the size of his losses, in part because his gambling practices, even in the last 10-12 weeks of his life, were deemed not to be exceptional, when averaged among gambling customers, generally.†3)†††† I remain concerned that, as was apparent through the evidence of a senior employee witness during the course of the inquest, the operator Betfair appears to judge the extent of its responsibilities to gambling customers solely with regard to industry (regulatory) standards, rather than current good or best practice in order to prevent further harming problem gamblers, or those who, as a result of their changing practices and patterns are likely to become problem gamblers.;;;;;;;
Ref: 2023-0292;Robert Cohen;National Rail Infrastructure Limited;†During the course of the inquest the evidence revealed matters giving rise to concern. In my opinion there is a risk that future deaths will occur unless action is taken. In the circumstances it is my statutory duty to report to you.†The MATTERS OF CONCERN are as follows. †In the course of the inquest I heard that British Transport Police had recommended to NetworkRail that they consider installing úanti trespass treads and gates to the north end of Platforms on Askam station if operationally possibleù.†By a letter to the Court dated 5th June 2023 Network Rail indicated that they had decided not to take this step. They explained that Askam station is rural, that limited resources dictate which works are prioritised and that there is no history of trespass.†In the course of the inquest the court heard that the line in this location is more accessible that might usually be expected, including by stiles in nearby fences associated with a nearby golf club.†In the circumstances I am concerned that the line may be readily accessible to individuals who wish to harm themselves.;;;;;;;
Ref: 2023-0290;Isobel Thistlethwaite;Leicestershire Partnership NHS Trust;During the course of the investigation my inquiries revealed matters giving rise to concern. In my opinion there is a risk that future deaths could occur unless action is taken. In the circumstances it is my statutory duty to report to you.The MATTERS OF CONCERN are as follows:Pre-ambleThe inquest heard evidence that Miss Zarins had suffered with depression since 200 She managed this by taking anti-depressant medication intermittently, she stopped taking her anti-depressants in June/July 202Miss Zarins came under the care of Leicestershire Partnership NHS Trust (úLPTù) on 22 November 2021, after taking an intentional overdose the day before. Miss Zarins was initially under the care of LPTs Mental Health Liaison team but was transferred to the care of LPTs CRISIS Team when she returned to her home address on 22 November 202 Miss Zarins expressed a desire to work with the CRISIS team and to recommence anti-depressants as soon as possible in order to improve her mental health.On 23 November 2021 Miss Zarins was discussed at a Multi-Disciplinary Team (úMDTù) meeting at LPT. The discussions at that meeting were fundamentally flawed, as was the plan for Miss Zarins care moving forward that was formed at that meeting and then implemented. The meeting proceeded on the basis that Miss Zarins was on, and had been on, anti-depressant medication at the time of taking the overdose, this was incorrect.The second and final MDT meeting where Miss Zarins was discussed (on 24 November 2021) also proceeded on this same mistaken basis.Despite Miss Zarins verbalising both her desire to get more sleep and her desire to go back onto anti-depressants as soon as possible, neither sleeping tablets nor anti-depressants were prescribed to her by LPT before she died. LPT continued to advise Miss Zarins that she would have to wait until 30 November 2021 to have a medical review.A member of LPT staff who was present at both MDT meetings informed the inquest that he did not have time to read the notes of the patients that were to be discussed at the MDT meetings. The staff member had not read Miss Zarins core assessment documentation (which correctly stated she was not on any anti-depressants) before either MDT meeting.Evidence heard at inquest was that Miss Zarins should have been put back onto anti- depressants and prescribed sleeping tablets on 23 November 202LPT undertook a Serious Incident Investigation into the care provided to Miss Zarins before her death. The investigation was wholly inadequate. Issues include, but are not limited to:  There was no medical input into the investigation;;;;;;;
Ref: 2023-0299;David Reid;Dyfed-Powys Police;During the course of the inquest the evidence revealed matters giving rise to concern. In my opinion there is a risk that future deaths will occur unless action is taken. In the circumstances it is my statutory duty to report to you. † The MATTERS OF CONCERN are as follows.  † † (1) Following his arrest, and before he was interviewed about the alleged offence of murder, Mr. Harris was assessed by a consultant forensic psychiatrist, [REDACTED] . Although†[REDACTED] concluded that Mr. Harris was fit to be detained and fit to be interviewed, he did note possible symptoms of Post Traumatic Stress Disorder, likely due to some trauma in Mr. Harris background, possible symptoms of a personality disorder, and úpotentially a psychotic process, with potential underlying delusional beliefsù;;;;;;;
Ref: 2023-0227;Patricia Harding;HM Prison and Probation Services;During the course of the inquest the evidence revealed matters giving rise to concern. In my opinion there is a risk that future deaths could occur unless action is taken. In the circumstances it is my statutory duty to report to you.The MATTERS OF CONCERN are as follows. (1)† There was evidence from prison staff from which it was concluded by the jury that the safety of deceased was compromised as a result in staff shortages(2)The current complement of Band 2 Operational Support Group staff is 71% this is predicted to further reduce to 54%, the current complement of Band 3 Prison Officers is 68% this is predicted to further reduce to 46%.;;;;;;;
Ref: 2023-0231;Fiona Wilcox;West London NHS Trust;Matters of Concern.†The generic, tick-box style of history recording by CATT which does not paint a†full and proper picture of the mental health of the patient, especially compared to the assessments of psychiatric liaison, are such that risk may be unrecorded and under appreciated by CATT and patients thus be put at risk. That the role of CATT to look for alternatives to admission may risk CATT†discharging patients who would benefit from admission and risk the repeat of making treatment plans that had recently failed such as in this case. Rather than looking for admission alternatives being a core function, should CATT rather better be focussed on the best treatment plan for the individual patient and thus admission being viewed as a clear option where appropriate rather a last resort, as it often appears to be presented in such cases before the coroner?. That the provision of care-coordinators be increased and improved so that†patients who require them have ready access at the time of need and are not placed on a waiting list. That patients to be discharged by CATT, as well as patients to be admitted are†discussed with the on-call psychiatrist so that plans may be reviewed, and thus the risk of not admitting patients who would benefit from and/ or require admission such as Mr Khala, are less likely to be discharged inappropriately. That where psychiatric teams differ in their assessments such as CATT and†psychiatric liaison, as occurred here, patients are not discharged until opinion is sort from the on-call consultant and re-discussion taken place between those with differing views. That expertise covering neurodevelopmental disorders such as ASD and ADHD†is available as part of MINT.;;;;;;;
Ref: 2023-0224;Hugh Bricknell;Herefordshire Council;During the course of the inquest the evidence revealed matters giving rise to concern. In my opinion there is a risk that future deaths will occur unless action is taken . In the circumstances it is my statutory duty to report to you .†The MATTERS OF CONCERN are as follows. †(1)††† A prevention duty was owed to the decease d and due to Herefordshire Council communication process failure, contact was not made with him or those with whom he had approved contact prior to his death.†(2)††† Evidence suggests that in reality Mr Taylor would have met the threshold for vulnerability set out in the Housing Act 1996 but the failure to progress the application resulted in this never being established.(3) A system for identifying process failure should be in place and effective.;;;;;;;
Ref: 2023-0223;Hugh Bricknell;Wye Valley NHS Trust;During the course of the inquest the evidence revealed matters giving rise to concern. In my opinion there is a risk that future deaths will occur unless action is taken. In the circumstances it is my statutory duty to report to you.The MATTERS OF CONCERN are as follows. †(1)† The patient appears to have been held in ED for 40+ hours during which time footwear was not removed. Necrotic Toe apparent without evidence of appropriate management or referral.†(2)†† Skin inspection on admission confirmed that all areas were intact but there is no evidence of preventative care despite patients time on ED (40 hours) and in AMU (5 days) . Acknowledgement of pressure area damage occurred on the 8th February but no reassessment took place until the 20th February with consequent failure to implement pressure relieving measures.†The Pressure Sore acquired in Hospital contributed to the death and it is noted that pressure area care training is not mandatory within Wye Valley Trust.;;;;;;;
Ref: 2023-0221;Caroline Saunders;Aneurin Bevan University Health Board;The MATTERS OF CONCERN are as follows: †At the inquest I was referred to the National Confidential Enquiry into Suicides. I was informed that the Enquiry identified key factors that should be adopted by Health Organisations to reduce the incidence of suicides, including:†¢†††††† That there should be a strategy for engagement with the family.¢†††††† That every patient should have access to 24-hour Crisis Support Neither of these key components of care were available to Kaye.Whilst I was informed that there were steps being taken to address these I was not persuaded that these guidelines had been fully inculcated into policyand practice at Aneurin Bevan University Health Board.;;;;;;;
Ref: 2023-0226;Alison Hewitt;Landsec;CORONERS CONCERNS The evidence I have gathered to date reveals matters giving rise to concern. In my opinion there is a risk that future deaths could occur unless action is taken. In the circumstances it is my statutory duty to report to you. † The MATTERS OF CONCERN are as follows :†††† Kai Cheng Barnaby, Deceased, whose death is being investigated by HM Senior Coroner for Inner South London, jumped to his death on the 6th†April 2023 from the roof. †††† Eight weeks later, on the 1st June 2023, Arezou Tirgari was also able to jump to her death from the same location.     It seems that no or no sufficient action has been taken to prevent persons being able to jump from the roof terrace and that there is an ongoing risk of further deaths.;;;;;;;
Ref: 2023-0199;Mary Hassell;East London NHS Foundation Trust;During the course of the inquest, the evidence revealed matters giving rise to concern. In my opinion, there is a risk that future deaths will occur unless action is taken. In the circumstances, it is my statutory duty to report to you.MATTERS OF CONCERN are as follows. I was shocked when I listened to the recording of the call that [REDACTED] made to the crisis line the day before his daughter died.†The East London NHS Foundation Trust (ELFT) serious incident (SI) report observed that the clinician did not elicit clear risks during the conversation;" and dismissed his distress about his daughter, even though she was a patient known to services after a first episode of psychosis.<br><strong>¬†</strong><br>In reaching my conclusion at inquest that the call was not treated with the seriousness it deserved, I agreed with all of those observations.¬†[REDACTED] was not taken seriously, he was not treated respectfully and he was not treated kindly. He was clearly desperate about his daughter‚Äôs mental health and, as we now know, he was right to be desperate. He rang the crisis line and he was belittled.<br><strong>¬†</strong><br>The clinician then made no note of the call in the medical records, even retrospectively.<br><strong>¬†</strong><br>I note the many recommendations of the thoughtful SI report, but I remain concerned on three counts.<br><strong>¬†</strong><br>¬∑¬†This is not the first time that I have made a PFD report to ELFT about its crisis line.<br><strong>¬†</strong><br>¬∑¬†Not only did the clinician in question not make a note of the call in the medical record, he told me in court that, after Freeda Glausiusz‚Äôs death his manager had told him not to make an appropriately dated retrospective note in the record. He said that he had made a note on a piece of paper, but he did not now have that piece of paper.<br><strong>¬†</strong><br>When I asked the lead SI reviewer if the trust is confident that it has taken all appropriate actions in respect of that clinician, she was not able to give me that assurance.<br><br>2. I heard at inquest that the clinician and his manager had listened to the recording of the call within days of the death and had recognised very significant shortcomings. However, the recording was not then volunteered to my coroner‚Äôs officer. I was aware of the existence of the call only because¬†[REDACTED] told my officer about it.<br><strong>¬†</strong><br>¬∑¬†I received a copy of the recording of the call (without a transcript) the day before the inquest.<br><strong>¬†</strong><br>¬∑¬†I received a statement from the clinician who took the call the day before the inquest.<br><strong>¬†</strong><br>¬∑¬†I received statements from other ELFT clinicians in dribs and drabs earlier this month.<br><strong>¬†</strong><br>¬∑¬†I received a copy of the SI report the day before the inquest.<br><strong>¬†</strong><br>¬∑¬†I never received a copy of the 48 hour hot de-brief.<br><strong>¬†</strong><br>¬∑¬†Freeda Glausiusz died five months ago. My officer first requested witness statements and a copy of any internal investigation on 7 June, over four months ago, and asked for the statements to be provided by 20 August.<br><strong>¬†</strong><br>This chronology does not demonstrate an eagerness to promote a learning culture by ELFT. The failure to provide prompt and candid co-operation with my office obstructs the coronial inquiry, an inquiry that includes the function of learning from deaths. And it does not demonstrate respect for the family of the deceased.</td>""";;;;;;
Ref: 2023-0204;Andrew Cox;CPFT;During the course of the inquest the evidence revealed matters giving rise to concern. In my opinion there is a risk that future deaths will occur unless action is taken. In the circumstances it is my statutory duty to report to you.The Trust has conducted a PSIR the contents of which were reviewed at inquest. The report reached conclusions I found entirely reasonable. I also heard from†[REDACTED] about the steps that are being taken to implement the changes felt to be appropriate. This includes a change to the consultant model with one consultant now responsible for the individual wards. There is also an initiative to standardise documentation, for example, at handover, and later MDT (when risks are reviewed), to ensure this is incorporated into RiO, together with an express intention to involve the family in decision-making. It was accepted that risk should be assessed by a nurse prior to granting leave to an informal patient particularly where unescorted leave is being considered for the first time.Although Chriss death occurred in February 2022, it also became clear that the process had not been completed. It was hoped this could be achieved by the end of July this year but the inquest was told there would need to be consideration of the proposals by the different consultants now involved. I was concerned to ensure that the process was completed without undue delay and it is with this in mind that I now write to you.;;;;;;;
Ref: 2023-0220;Alison Mutch;Department of Health and Social Care and Ministry of Justice;During the course of the inquest the evidence revealed matters giving rise to concern. In my opinion there is a risk that future deaths will occur unless action is taken. In the circumstances it is my statutory duty to report to you.MATTERS OF CONCERN are as follows. †††† The inquest heard evidence that the backlogs for therapy were such that the waiting list at the time she was assessed as being appropriate for step 4 therapy had a two year wait time. Since that time the waiting period had not decreased and was now between 2 -3 years in both primary and secondary care. This was due to a shortage of trained therapists and demands on the service and was a national issue not specific to the CWP trust.†††† The inquest was told that the trust had since Michelles death recognised that the lack of ownership created through the application of its referral and discharge policy internally carried an unacceptable risk. Significant changes had been made. However it was unclear if nationally the lesson had been shared and that other mental health trusts had taken similar steps.†††† The evidence before the inquest was that there needed to be a clear understanding by all prosecuting authorities of the impact of a prosecution on someone with a complex mental health background such as Michelle. In Michelles case the BTP file reviewer (the nature of the offence Michelle faced meant that it was not a CPS lawyer who made the charging decision) had not correctly applied the public interest test and had not considered the mental health/vulnerability of Michelle Jennings as required to. As a consequence a decision was taken to prosecute her without an assessment of the impact on Michelle and her case was dealt with by the Magistrates Court without them being given the full background in relation to her deteriorating mental health. BTP are as a consequence of Michelles death taking steps to address how their prosecution teams should deal with the public interest test and gather information where mental health is an issue. However there is no clear mechanism for such learning and changes (to reduce the risk to life) in relation to vulnerable people such as Michelle to be implemented within the other 42 Police Forces in England and Wales or within other agencies responsible for prosecuting criminal offences.;;;;;;;
Ref: 2023-0206;Heidi Connor;Reading Borough Council, Berkshire Healthcare NHS Foundation Trust;During the course of the investigation my inquiries revealed matters giving rise to concern. In my opinion there is a risk that future deaths could occur unless action is taken. In the circumstances it is my statutory duty to report to you.†The MATTERS OF CONCERN are as follows:(brief summary of matters of concern)†The concerns arising out of this investigation and inquest relate to the following key areas,a)† Safeguardingb)† Mental health provisionc)† Inter-agency communication  particularly where there is some doubt over who should provide additional support needed by a person.†We heard in evidence that in the months after Lucys death, a Safeguarding Adults Board considered the case, but did not consider that a Safeguarding Adults Review (òSAR) should be undertaken. Evidence from Wokingham Borough Council was that they were not at that time aware of the number of safeguarding referrals that had been made.†A decision was made (some six days before the inquest) that a SAR will now be conducted. The evidence of the Assistant Director of Adult Social Care was that this is likely to be completed within 1-3 months after the inquest.†I have set out the issues / concerns that I have for each of the two recipients of this report, below.†Reading Borough Council1)† Time scales for review and triage of safeguarding referrals.2)† Requirements to speak to the individual about whom safeguarding concerns have been raised.3)† Training around Section 42 and when a report meets the threshold for neglect or abuse. This training should also consider what options are available if a concern does not meet the threshold for a Section 42 enquiry.4)† Systems for making other involved agencies aware of safeguarding referrals and concerns.5)† In relation to each of the above points, whether RBC should reflect the above changes in formal (written) policy, as well as delivering training.6)† Improving interaction amongst agencies involved, and consideration of the threshold for arranging joint meetings to discuss service users, whether they meet Section 42 thresholds or not. The evidence we heard is that this is now being actively encouraged. Should there be written guidance about this somewhat subjective issue ?7)† Whether they consider that the resourcing of this service is adequate and safe.8)† Systems for auditing, and what will happen if the auditing reveals ongoing issues.†Berkshire Health Care1)† How do the changes/proposed changes to systems (including the òOne Team approach) make a difference? Specifically:a)† Is the trust able to say with any confidence that a patient like Lucy would not be discharged from the crisis team without additional support, as she was on 2nd February?b)† Is the trust able to say with any confidence that a patient like Lucy would be offered some support, whether by the crisis team or otherwise, in the situation that arose on the 15th February?†2) Do they consider that resourcing of these services is adequate and safe?;;;;;;;
Ref: 2023-0218;Penelope Schofield;NHS England and Integrated Health Board NHS Sussex;During the investigation, my inquiries revealed matters giving rise to concern. In my opinion there is a risk that future deaths could occur unless action is taken. In the circumstances it is my statutory duty to report to you.†The MATTERS OF CONCERN are as follows:Patients who attend a Hospital Accident and Emergency Department with mental health difficulties are in most hospitals seen by a Mental Health Liaison team (made up of Consultant Psychiatrists and Mental Health nurses) These staff are not employed by the Acute Hospital Trust but are employed by a local Mental Health Trust (in this particular case it was the Sussex Partnership Foundation Trust).†As a result of their employment status the Mental Health Liaison team (who have the best knowledge of the patient having been caring for them) cannot invoke the Doctors or Nurses holding powers under Section 5(2) Mental Health Act (Section 5(4) for nurses). If a patient decides to abscond from the Acute Trust Hospital the Mental Health staff cannot detain/hold the patient. They would have to ask a Doctor within the Acute Hospital to do so. This Doctor may not have any knowledge of the patient and would be unlikely to act immediately in a busy A&amp;;;;;;;
